embedding,mode,klass,pair_id,cosine,tanimoto,identical,bg_median,separation
Morgan r3-counts,add_methyl,A,add_methyl_818,0.05794847011566162,0.2539682388305664,False,0.39175745844841003,0.14791925251483917
Morgan r3-counts,add_methyl,A,add_methyl_819,0.10932672023773193,0.32758623361587524,False,0.44833630323410034,0.24384979903697968
Morgan r3-counts,add_methyl,A,add_methyl_820,0.1738818883895874,0.459770143032074,False,0.7203764915466309,0.24137639999389648
Morgan r3-counts,add_methyl,A,add_methyl_821,0.09050869941711426,0.3571428656578064,False,0.41322797536849976,0.21902848780155182
Morgan r3-counts,add_methyl,A,add_methyl_822,0.039339303970336914,0.26271188259124756,False,0.4244193732738495,0.09268970042467117
Morgan r3-counts,add_methyl,A,add_methyl_823,0.0669013261795044,0.29752063751220703,False,0.5091999173164368,0.1313851922750473
Morgan r3-counts,add_methyl,A,add_methyl_824,0.20712369680404663,0.5609756112098694,False,0.49073153734207153,0.42207130789756775
Morgan r3-counts,add_methyl,A,add_methyl_825,0.05323821306228638,0.2628571391105652,False,0.4048421084880829,0.1315036416053772
Morgan r3-counts,add_methyl,A,add_methyl_826,0.07722806930541992,0.2571428418159485,False,0.4619724154472351,0.16717030107975006
Morgan r3-counts,add_methyl,A,add_methyl_827,0.06914430856704712,0.27407407760620117,False,0.5822495222091675,0.11875373870134354
Morgan r3-counts,add_methyl,A,add_methyl_828,0.046692728996276855,0.20588237047195435,False,0.5779980421066284,0.08078353852033615
Morgan r3-counts,add_methyl,A,add_methyl_829,0.07189327478408813,0.2538461685180664,False,0.4211890399456024,0.17069122195243835
Morgan r3-counts,add_methyl,A,add_methyl_830,0.06713831424713135,0.2698412537574768,False,0.41831374168395996,0.1604975163936615
Morgan r3-counts,add_methyl,A,add_methyl_831,0.10031372308731079,0.32786887884140015,False,0.5655932426452637,0.1773601919412613
Morgan r3-counts,add_methyl,A,add_methyl_832,0.16794967651367188,0.4492753744125366,False,0.6767104864120483,0.2481854259967804
Morgan r3-counts,add_methyl,A,add_methyl_833,0.0981302261352539,0.30909091234207153,False,0.5544335842132568,0.17699185013771057
Morgan r3-counts,add_methyl,A,add_methyl_834,0.2646440267562866,0.5892857313156128,False,0.5118422508239746,0.5170421600341797
Morgan r3-counts,add_methyl,A,add_methyl_835,0.05323803424835205,0.25,False,0.3768446445465088,0.1412731558084488
Morgan r3-counts,add_methyl,A,add_methyl_836,0.041389405727386475,0.18888890743255615,False,0.43386784195899963,0.09539633989334106
Morgan r3-counts,add_methyl,A,add_methyl_837,0.1080470085144043,0.37755101919174194,False,0.45555078983306885,0.23717884719371796
Morgan r3-counts,add_methyl,A,add_methyl_838,0.07405710220336914,0.2517985701560974,False,0.4464986026287079,0.16586188971996307
Morgan r3-counts,add_methyl,A,add_methyl_839,0.13168656826019287,0.3580247163772583,False,0.46898025274276733,0.2807934284210205
Morgan r3-counts,add_methyl,A,add_methyl_840,0.04796147346496582,0.23129254579544067,False,0.4056442677974701,0.11823530495166779
Morgan r3-counts,add_methyl,A,add_methyl_841,0.04186356067657471,0.1845238208770752,False,0.4031364321708679,0.10384465008974075
Morgan r3-counts,add_methyl,A,add_methyl_842,0.05549728870391846,0.27419352531433105,False,0.37945371866226196,0.1462557464838028
Morgan r3-counts,add_methyl,A,add_methyl_843,0.08792382478713989,0.313043475151062,False,0.39799875020980835,0.220914825797081
Morgan r3-counts,add_methyl,A,add_methyl_844,0.04186040163040161,0.2448979616165161,False,0.4124731421470642,0.10148636996746063
Morgan r3-counts,add_methyl,A,add_methyl_845,0.06996023654937744,0.28244274854660034,False,0.40729236602783203,0.17176908254623413
Morgan r3-counts,add_methyl,A,add_methyl_846,0.10133624076843262,0.3106796145439148,False,0.49286583065986633,0.2056061327457428
Morgan r3-counts,add_methyl,A,add_methyl_847,0.031957149505615234,0.20202022790908813,False,0.4239545166492462,0.07537872344255447
Morgan r3-counts,add_methyl,A,add_methyl_848,0.03751558065414429,0.23966944217681885,False,0.3759590685367584,0.09978634119033813
Morgan r3-counts,add_methyl,A,add_methyl_849,0.07439494132995605,0.25333333015441895,False,0.6154063940048218,0.12088750302791595
Morgan r3-counts,add_methyl,A,add_methyl_850,0.050493597984313965,0.1836734414100647,False,0.4437424838542938,0.11379031836986542
Morgan r3-counts,add_methyl,A,add_methyl_851,0.06997549533843994,0.2698412537574768,False,0.407518595457077,0.17171117663383484
Morgan r3-counts,add_methyl,A,add_methyl_852,0.05075275897979736,0.23129254579544067,False,0.3848012089729309,0.13189345598220825
Morgan r3-counts,add_methyl,A,add_methyl_853,0.060030460357666016,0.27027028799057007,False,0.3875693380832672,0.15488959848880768
Morgan r3-counts,add_methyl,A,add_methyl_854,0.11258256435394287,0.39215683937072754,False,0.4293195605278015,0.2622348964214325
Morgan r3-counts,add_methyl,A,add_methyl_855,0.08328068256378174,0.3008130192756653,False,0.4597909152507782,0.18112729489803314
Morgan r3-counts,add_methyl,A,add_methyl_856,0.13665997982025146,0.3835616707801819,False,0.4154324531555176,0.3289583623409271
Morgan r3-counts,add_methyl,A,add_methyl_857,0.05207204818725586,0.26446282863616943,False,0.4249875545501709,0.12252605706453323
Morgan r3-counts,add_methyl,A,add_methyl_858,0.07957667112350464,0.2844036817550659,False,0.39907631278038025,0.19940213859081268
Morgan r3-counts,add_methyl,A,add_methyl_859,0.04592698812484741,0.238095223903656,False,0.3829028308391571,0.11994423717260361
Morgan r3-counts,add_methyl,A,add_methyl_860,0.05768096446990967,0.2769230604171753,False,0.531123161315918,0.10860186070203781
Morgan r3-counts,add_methyl,A,add_methyl_861,0.09448349475860596,0.2916666865348816,False,0.5150996446609497,0.1834276020526886
Morgan r3-counts,add_methyl,A,add_methyl_862,0.06560742855072021,0.27941179275512695,False,0.5289010405540466,0.12404480576515198
Morgan r3-counts,add_methyl,A,add_methyl_863,0.033157527446746826,0.22302156686782837,False,0.40344128012657166,0.0821867510676384
Morgan r3-counts,add_methyl,A,add_methyl_864,0.04330742359161377,0.2460317611694336,False,0.4091717004776001,0.10584168881177902
Morgan r3-counts,add_methyl,A,add_methyl_865,0.20382428169250488,0.4852941036224365,False,0.5313463807106018,0.3835996389389038
Morgan r3-counts,add_methyl,A,add_methyl_866,0.05880659818649292,0.2649572491645813,False,0.3646705150604248,0.16125953197479248
Morgan r3-counts,add_methyl,A,add_methyl_867,0.09133553504943848,0.31578946113586426,False,0.41141584515571594,0.22200295329093933
Morgan r3-counts,add_methyl,A,add_methyl_868,0.09735047817230225,0.305084764957428,False,0.5184659957885742,0.18776637315750122
Morgan r3-counts,add_methyl,A,add_methyl_869,0.2045852541923523,0.5166666507720947,False,0.5326759219169617,0.3840707838535309
